image_path,table_id,seat_start_time,seat_end_time,selected_people,camera_total,people_diff,person_id,gender,estimated_age_range,age_category,confidence
dataset/photo_1752799165.jpg,4,2025-07-18_09-39-35,,1,1,0,1,male,20-30,young_adult,high
dataset/photo_1752801032.jpg,19,2025-07-18_10-10-39,,2,1,1,1,male,20-30,young_adult,high
