category,multi_percentage,all_percentage,difference
その他,66.66666666666666,47.22222222222222,19.444444444444436
カレー系,4.166666666666666,2.7777777777777777,1.3888888888888884
丼・定食,20.833333333333336,25.0,-4.166666666666664
揚げ物,0.0,5.555555555555555,-5.555555555555555
麺類,8.333333333333332,19.444444444444446,-11.111111111111114
